Title,SKU,Supplier SKU,Retail Price (GBP),True Cost incl. 20% VAT (GBP),Margin (GBP),Margin (%)
"Hampstead Black Finish Large Pendant Light With Hints of Gold | Kaiku","","5511039","337.00","285.11","51.89","15.4"
"Hutchinson Clear Crystal Table Lamp with Gold Metal | Kaiku","","5511735","149.00","125.98","23.02","15.4"
"Opus Woven Rope Armchair | Kaiku","","5502316","289.00","244.19","44.81","15.5"
"Babylon Six Bulb Chrome Chandelier | Kaiku","","5511673","409.00","345.71","63.29","15.5"
"Avelino Illuminated LED Silver Round Mirror | Kaiku","","5503356","199.00","167.88","31.12","15.6"
"Darnell Small Greyt Faceted Planter | Kaiku","","5505784","66.00","55.63","10.37","15.7"
"Orko Brass And Black 16 Bulb Statement Pendant Light | Kaiku","","5511641","599.00","504.89","94.11","15.7"
"Karter Chrome Finish Floor Lamp With Three Lights | Kaiku","","5511592","197.00","165.85","31.15","15.8"
"Goa Brown Rattan Hanging Chair | Kaiku","","2406046","299.00","251.02","47.98","16.0"
"Arlo Small Engraved Natural And Black Planter | Kaiku","","5506561","40.00","33.60","6.40","16.0"
"Yara Matt Black 12 Bulb Statement Pendant Light | Kaiku","","5511726","665.00","558.35","106.65","16.0"
"Sagor Mango Wood Console Table with Drawers | Kaiku","","5527540","661.29","553.55","107.74","16.3"
"Spezia Grey Marble Top Media Unit | Kaiku","","5528966","1469.00","1227.62","241.38","16.4"
"Midas Recycled Elm Wood 4 Door Sideboard | Kaiku","","5502400","1643.00","1372.07","270.93","16.5"
"Kempton Grey Shagreen Effect and Walnut Veneer Media Unit | Kaiku","","5527514","1190.00","993.56","196.44","16.5"
"Ralph Three Seat Mink Velvet Right Chaise Sofa | Kaiku","","5528142","1632.00","1359.00","273.00","16.7"
"Siena Black and Natural Oak Wood Three Door Sideboard | Kaiku","","5528753","1460.00","1216.80","243.20","16.7"
"Lyon Beige Linen Dining Chair | Kaiku","","5501639","258.00","214.56","43.44","16.8"
"Cayden Small Smoked Black And Silver Vase | Kaiku","","5506533","36.00","29.92","6.08","16.9"
"Hampstead Acacia Wood and Silver Legs Dining Table | Kaiku","","5528991","689.00","572.81","116.19","16.9"
"Carta Black and White Stripe Papier Mache Table Lamp | Kaiku","","5511823","89.00","73.85","15.15","17.0"
"Simla Acacia Wood Media Unit | Kaiku","","5528448","675.00","558.19","116.81","17.3"
"Terni Gold Finish Wall Mirror | Kaiku","","5503962","192.00","158.64","33.36","17.4"
"Babylon Four Bulb Antique Gold Chandelier | Kaiku","","5511675","299.00","246.96","52.04","17.4"
"Riza Square And Tiled Design Wall Mirror | Kaiku","","5503234","127.00","104.52","22.48","17.7"
"Saronno Grey Marble Dining Table | Kaiku","","5528970","2389.00","1966.46","422.54","17.7"
"Sabia Green And Gold Three Tiered Plant Stand | Kaiku","","5509127","149.00","122.28","26.72","17.9"
"Revive Gold Finish Metal Floor Lamp | Kaiku","","2502341","124.00","101.69","22.31","18.0"
"Arlo Large Brown And Natural Wooden Planter | Kaiku","","5506575","78.00","63.96","14.04","18.0"
"Antler Nickel Finish and Black 4 Shade Chandelier | Kaiku","","5511152","297.00","243.60","53.40","18.0"
"Goa White Rattan Effect Hanging Chair with Grey Cushions | Kaiku","","2450048","314.00","257.27","56.73","18.1"
"Gala Black Glass Vanity Mirror with Drawers | Kaiku","","2401608","105.00","85.85","19.15","18.2"
"Abira Black Marble and Brass 5 Bulb Floor Lamp | Kaiku","","5511721","379.00","310.14","68.86","18.2"
"Rowan Two Seater Natural And Silver Woven Bamboo Small Sofa | Kaiku","","2405802","269.00","219.84","49.16","18.3"
"Darnell White And Black Large Planter | Kaiku","","5505798","119.00","97.20","21.80","18.3"
"Meissa Gold Finish Pendant Wall Mirror | Kaiku","","5503056","89.00","72.65","16.35","18.4"
"Lagom Black Natural Rattan Dining Chair | Kaiku","","2406754","178.00","144.82","33.18","18.6"
"Lyon Rattan and Oak Wood 2 Door Wardrobe | Kaiku","","5528694","1469.00","1195.79","273.21","18.6"
"Maxwell Stone Chenille Curved Swivel Dining Chair | Kaiku","","2407102","239.00","194.03","44.97","18.8"
"Carta Brown and White Stripe Papier Mache Table Lamp | Kaiku","","5511868","91.00","73.85","17.15","18.8"
"Revive Chrome Finish Floor Lamp | Kaiku","","2502340","159.00","128.88","30.12","18.9"
"Nandri Slatted Teak Wood Bench | Kaiku","","5502377","189.00","153.23","35.77","18.9"
"Laila Large White Round Dining Table | Kaiku","","2406656","306.29","247.55","58.74","19.2"
"Tundra Black And White Earthenware Planter | Kaiku","","5506673","48.00","38.80","9.20","19.2"
"Carta Black and White Stripe Papier Mache Domed Pendant Light | Kaiku","","5511870","197.00","159.23","37.77","19.2"
"Maka Grey Natural Rattan Stool | Kaiku","","2405640","97.00","78.20","18.80","19.4"
"Darnell Small White Planter | Kaiku","","5505793","78.00","62.89","15.11","19.4"
"Opus Woven Rope Chaise Longue with Cushions | Kaiku","","5528548","899.00","723.55","175.45","19.5"
"Carlotta Purple Mirrored Glass Wall Mirror | Kaiku","","1101291","249.00","200.10","48.90","19.6"
"Avento Set Of Two Round Black Plant Stands | Kaiku","","2406765","119.00","95.62","23.38","19.6"
"Hania Small Glass Vase with Abstract Pattern | Kaiku","","5506323","59.00","47.45","11.55","19.6"
